total_nodes_manhattan,solution_length_manhattan,total_nodes_misplaced,solution_length_misplaced,total_nodes_h_max,solution_length_h_max,solution_lengths_identical,shared_states_manhattan_misplaced,unique_to_manhattan,unique_to_misplaced,avg_order_diff_manhattan_misplaced,max_order_diff_manhattan_misplaced,shared_states_manhattan_h_max,unique_to_h_max,avg_order_diff_manhattan_h_max,max_order_diff_manhattan_h_max,shared_states_misplaced_h_max,avg_order_diff_misplaced_h_max,max_order_diff_misplaced_h_max,size,num_moves
34,11,43,11,766,11,True,34,0,0,0.08008658008658008,0.21645021645021645,34,723,0.1815770158330712,0.4392156862745098,43,0.2343973248214014,0.5106442577030813,4,11
35,11,60,11,678,11,True,35,1,1,0.1069790628115653,0.2776669990029911,34,619,0.2003214875314971,0.4592058389086802,59,0.2767846723954517,0.6007811130861478,4,11
45,11,78,11,638,11,True,45,0,0,0.1391053391053391,0.6396103896103896,45,560,0.29712985427271144,0.6486370772085058,78,0.33055772066761074,0.8001998001998002,4,11
40,11,159,11,537,11,True,40,6,6,0.152008276533593,0.38753651411879264,34,384,0.19879251930393282,0.37657864523536166,153,0.2494313614355623,0.7107028150387303,4,11
33,9,48,9,106,9,True,33,3,6,0.10013700838168924,0.21210106382978722,30,64,0.18432539682539684,0.506547619047619,42,0.23117672600955275,0.6062816616008105,4,11
23,9,58,9,92,9,True,19,4,2,0.11063544027532948,0.27910685805422647,19,36,0.14937693885062306,0.32267732267732263,56,0.10261918532595224,0.4139194139194139,4,11
31,9,38,9,136,9,True,31,3,4,0.1082534147050276,0.3486486486486486,28,102,0.14589947089947092,0.3851851851851852,34,0.17779544250132484,0.40200200200200203,4,11
22,11,22,11,741,11,True,22,0,0,0.0,0.0,22,719,0.19104071604071604,0.3701415701415701,22,0.19104071604071604,0.3701415701415701,4,11
26,9,30,9,155,9,True,26,0,0,0.03395225464190981,0.07724137931034486,26,125,0.15892107892107893,0.4161038961038961,30,0.16360650843409463,0.48231079265562016,4,11
25,9,39,9,248,9,True,25,0,1,0.11157894736842104,0.33991228070175433,25,210,0.20642375168690957,0.45546558704453444,38,0.24936075005327082,0.6518218623481782,4,11
24,9,43,9,221,9,True,24,1,2,0.06383712905452037,0.15734989648033126,23,179,0.1896373947413645,0.5513833992094861,41,0.2807359307359307,0.672077922077922,4,11
21,9,21,9,105,9,True,21,0,0,0.0,0.0,21,84,0.0913919413919414,0.1653846153846154,21,0.0913919413919414,0.1653846153846154,4,11
24,7,26,7,74,7,True,24,1,1,0.059710144927536235,0.22260869565217392,23,49,0.11642540849884765,0.26801667659321027,25,0.13293150684931507,0.3978082191780822,4,11
