total_nodes_misplaced,solution_length_misplaced,total_nodes_height_diff,solution_length_height_diff,total_nodes_h_max,solution_length_h_max,solution_lengths_identical,shared_states_misplaced_height_diff,unique_to_misplaced,unique_to_height_diff,avg_order_diff_misplaced_height_diff,max_order_diff_misplaced_height_diff,shared_states_misplaced_h_max,unique_to_h_max,avg_order_diff_misplaced_h_max,max_order_diff_misplaced_h_max,shared_states_height_diff_h_max,avg_order_diff_height_diff_h_max,max_order_diff_height_diff_h_max,num_blocks,num_stacks,num_moves
11,3,23,3,33,3,True,11,0,4,0.2066115702479339,0.36363636363636365,11,14,0.23011363636363635,0.4125,19,0.09255382775119618,0.25,5,3,5
23,4,93,4,59,4,True,23,0,34,0.30103969754253307,0.5830039525691699,23,0,0.22038980509745126,0.5297805642633229,59,0.14609432571849668,0.3916791604197902,5,3,5
21,4,87,4,59,4,True,21,0,28,0.2707641196013289,0.6372093023255814,21,0,0.25862068965517243,0.48965517241379314,59,0.14309597270737906,0.2698476343223737,5,3,5
24,3,48,3,44,3,True,24,0,12,0.10672987974098057,0.2294172062904718,24,8,0.1029659588810246,0.25884732052578363,36,0.035364780911539946,0.08659079663532909,5,3,5
9,2,17,2,15,2,True,9,0,4,0.1388888888888889,0.25,9,2,0.09523809523809525,0.2142857142857143,13,0.09752747252747253,0.25,5,3,5
5,2,5,2,7,2,True,5,0,0,0.0,0.0,5,2,0.06666666666666668,0.16666666666666669,5,0.06666666666666668,0.16666666666666669,5,3,5
11,2,15,2,15,2,True,11,0,0,0.14285714285714285,0.2857142857142857,11,0,0.14285714285714285,0.2857142857142857,15,0.0,0.0,5,3,5
35,4,118,4,86,4,True,35,0,34,0.23373554550025136,0.5424836601307189,35,4,0.2445378151260504,0.611764705882353,82,0.1454548798881654,0.5233785822021115,5,3,5
15,3,39,3,19,3,True,15,0,20,0.24561403508771928,0.4511278195488722,15,0,0.06455026455026455,0.15873015873015872,19,0.19667590027700832,0.368421052631579,5,3,5
17,3,28,3,30,3,True,17,0,3,0.14215686274509806,0.5277777777777778,17,5,0.2079107505070994,0.3793103448275862,25,0.16694763729246487,0.4150702426564496,5,3,5
15,4,105,4,71,4,True,15,0,47,0.1433150183150183,0.3983516483516483,15,13,0.16952380952380952,0.39999999999999997,58,0.11915971959075407,0.37032967032967035,5,3,5
9,3,21,3,27,3,True,9,0,0,0.25555555555555554,0.45,9,6,0.31196581196581197,0.5384615384615384,21,0.11538461538461538,0.23076923076923073,5,3,5
33,4,128,4,90,4,True,33,0,48,0.2656883798616082,0.6392716535433071,33,10,0.2442969016002724,0.5154494382022472,80,0.17613023091214722,0.5433070866141732,5,3,5
30,4,98,4,86,4,True,30,0,27,0.25945017182130586,0.6317099182367579,30,15,0.23960784313725492,0.5200811359026369,71,0.08287054040434236,0.6526379624014553,5,3,5
15,4,69,4,53,4,True,15,0,20,0.15364145658263303,0.3067226890756302,15,4,0.17234432234432231,0.41758241758241754,49,0.12531166312678918,0.332579185520362,5,3,5
15,4,63,4,45,4,True,15,0,22,0.1622119815668203,0.44239631336405527,15,4,0.13744588744588743,0.3896103896103896,41,0.08740433445390174,0.25439882697947214,5,3,5
30,4,69,4,87,4,True,29,0,10,0.1914912219346716,0.5481744421906694,30,29,0.2717054263565891,0.640737770649559,58,0.15436459266946556,0.500341997264022,5,3,5
9,3,21,3,19,3,True,9,0,4,0.14444444444444446,0.30000000000000004,9,2,0.08333333333333333,0.16666666666666669,17,0.10980392156862744,0.19999999999999996,5,3,8
5,1,5,1,7,1,True,5,0,0,0.0,0.0,5,2,0.16666666666666669,0.33333333333333337,5,0.16666666666666669,0.33333333333333337,5,3,8
19,4,89,4,79,4,True,19,0,29,0.3642344497607655,0.6641414141414141,19,19,0.20917678812415655,0.4145299145299145,60,0.23377525252525252,0.6386946386946386,5,3,8
15,3,27,3,41,3,True,15,0,0,0.18974358974358976,0.32967032967032966,15,14,0.27166666666666667,0.4642857142857143,27,0.13055555555555556,0.25,5,3,8
62,5,278,5,201,5,True,62,0,83,0.2773378362641202,0.7086465052967983,62,6,0.265241935483871,0.5680327868852459,195,0.16348347681199665,0.4981949458483754,5,3,8
63,5,206,5,173,5,True,63,0,49,0.23844367015098722,0.5412273800157357,63,16,0.23569582871908454,0.5217554388597149,157,0.170017991914477,0.7639818491208168,5,3,8
13,5,39,5,119,5,True,13,0,8,0.2125506072874494,0.3508771929824561,13,88,0.17275097783572363,0.4322033898305085,31,0.16871456936491036,0.41480820695807313,5,3,8
59,5,177,5,193,5,True,59,0,50,0.20156341320864993,0.5721003134796239,59,66,0.2732898646015975,0.6677442528735632,127,0.20647294798377475,0.5809659090909092,5,3,8
33,4,117,4,86,4,True,33,0,40,0.31347962382445144,0.6228448275862069,33,9,0.2270276292335116,0.6316176470588235,77,0.17976344142672745,0.4009127789046653,5,3,8
